t,eyebrows_interp,pitch
1.334,0.5594896611141758,
1.336,0.5594896611141648,
1.338,0.5594896611141537,
1.34,0.5594896611141427,
1.342,0.5594896611141317,
1.344,0.5594896611141206,
1.346,0.5594896611141096,
1.348,0.5594896611140986,
1.35,0.5594896611140875,
1.352,0.5594896611140765,
1.354,0.5594896611140655,
1.356,0.5594896611140545,
1.358,0.5594896611140434,
1.36,0.5594896611140324,
1.362,0.5594896611140214,
1.364,0.5594896611140103,
1.366,0.5594896611139993,
1.368,0.5586279535877541,
1.37,0.5573353922983918,
1.372,0.5560428310090295,
1.374,0.5547502697196672,
1.376,0.5534577084303051,
1.378,0.5521651471409428,
1.38,0.5508725858515805,
1.382,0.5495800245622182,
1.384,0.5482874632728559,
1.386,0.5469949019834937,
1.388,0.5457023406941314,
1.39,0.544409779404769,
1.392,0.5431172181154067,
1.394,0.5418246568260444,
1.396,0.5405320955366821,
1.398,0.5392395342473199,
1.4,0.5379469729579576,
1.402,0.5431172181154288,
1.404,0.5482874632728999,
1.406,0.5534577084303711,
1.408,0.5586279535878422,
1.41,0.5637981987453135,
1.412,0.5689684439027847,
1.414,0.5741386890602558,
1.416,0.579308934217727,
1.418,0.5844791793751981,
1.42,0.5896494245326693,
1.422,0.5948196696901404,
1.424,0.5999899148476117,
1.426,0.6051601600050829,
1.428,0.610330405162554,
1.43,0.6155006503200252,
1.432,0.6206708954774964,
1.434,0.6275645556874553,
1.436,0.6379050460023904,
1.438,0.6482455363173255,
1.44,0.6585860266322605,
1.442,0.6689265169471956,114.36311406959815
1.444,0.6792670072621306,113.88731399420656
1.446,0.6896074975770657,114.1067679374643
1.448,0.6999479878920007,114.94441736462714
1.45,0.7102884782069359,116.32320374095086
1.452,0.720628968521871,118.1660685316912
1.454,0.730969458836806,120.39595320210394
1.456,0.7413099491517411,122.93579921744482
1.458,0.7516504394666761,125.70854804296962
1.46,0.7619909297816112,128.6371411439341
1.462,0.7723314200965463,131.64451998559397
1.464,0.7826719104114813,134.65362603320506
1.466,0.7930124007264163,137.5874007520227
1.468,0.7887038630951908,139.9328534856678
1.47,0.7770708114908862,142.07804362385446
1.472,0.7654377598865816,143.96479073174788
1.474,0.753804708282277,145.5285437470259
1.476,0.7421716566779724,146.70654596179634
1.478,0.7305386050736677,147.43908756971024
1.48,0.7189055534693631,147.6703664052746
1.482,0.7072725018650584,147.34792251543402
